Common Name,Latin Name,Image,Deciduous/Evergreen,Blurb
Pagoda Dogwood,Cornus alternifolia,pagoda_dogwood.jpg,Deciduous,"Cornus alternifolia, commonly known as green osier, alternate-leaved dogwood, and pagoda dogwood, is a species of flowering plant in the dogwood family Cornaceae, native to eastern North America, from Newfoundland west to southern Manitoba and Minnesota, and south to northern Florida and Mississippi. It is a small deciduous shrub or tree growing to 25 feet (8 m) (rarely 30 feet (9 m)) tall, with a trunk up to 6 inches (152 mm) in diameter. The branches develop characteristic horizontal layers separated by gaps, with a flat-topped crown."
Painted Maple,Acer truncatum,painted_maple.jpg,Deciduous,"Acer truncatum is a maple native to northern China, in the provinces of Gansu, Hebei, Henan, Jiangsu, Jilin, Liaoning, Inner Mongolia, Shaanxi, Shandong, Shanxi, and to Korea. It is a medium-sized deciduous tree growing to 15 metres (49 ft) tall with a broad, rounded crown. The bark is smooth on young trees, becoming shallowly ridged with age. It is grown as an ornamental plant in Europe and North America."
Paperbark Maple,Acer griseum,paperbark_maple.jpg,Deciduous,"Acer griseum (paperbark maple) is a species of flowering plant in the family Sapindaceae, native to central China. Acer griseum is found in the Chinese provinces of Gansu, Henan, Hubei, Hunan, Shaanxi, Shanxi, and Sichuan, at altitudes of 1,500-2,000 m (4,921-6,562 ft). It is a small to medium-sized deciduous tree, reaching 6-9 m (20–30 ft) tall and 5–6 m (16–20 ft) wide, with a trunk up to 70 cm (28 in) in circumference. It also has spectacular autumn foliage which can include red, orange and pink tones."
Pearlbush,Exochorda species,pearlbush.jpg,Deciduous,"Exochorda is a small genus of flowering plants in the family Rosaceae, native to China and central Asia (Turkestan). They are used as ornamental plants with the common name pearl bush, or pearlbush. They are deciduous shrubs growing 2–4 m (7–13 ft) tall. The leaves are paddle-shaped oval, 3–9 cm (1–4 in) long, with an entire or bluntly serrated margin."
Persian Ironwood,Parrotia persica,persian_ironwood.jpg,Deciduous,"Parrotia persica (commonly called Persian ironwood) is a deciduous tree in the family Hamamelidaceae, closely related to the witch-hazel genus Hamamelis. It is native to northern Iran and southern Azerbaijan and it is endemic in the Alborz mountains. The species was named by Carl Anton von Meyer to honor his predecessor at the University of Dorpat, German naturalist Georg Friedrich Parrot, who botanized in the Alborz on a mountaineering expedition in the 1830s. P. persica is cultivated as an ornamental tree for its brilliant autumn colour and the smooth, patterned bark. As an uncommon, drought-tolerant garden tree of moderate size, it is prized for its striking autumn colour and the exfoliating bark that develops on mature specimens."
Pignut Hickory,Carya glabra,pignut_hickory.jpg,Deciduous,"Carya glabra, the pignut hickory, is a common, but not abundant species of hickory in the oak-hickory forest association in the Eastern United States and Canada. Other common names are pignut, sweet pignut, coast pignut hickory, smoothbark hickory, swamp hickory, and broom hickory. The species grows in central Florida and westward through Louisiana and along the Gulf Coast to Alabama through Mississippi. The pear-shaped nut ripens in September and October and is an important part of the diet of many wild animals. The wood is used for a variety of products, including fuel for home heating."
Pin Oak,Quercus palustris,pin_oak.jpg,Deciduous,"Quercus palustris, the pin oak or swamp Spanish oak, is an oak in the red oak section (Quercus sect. Lobatae). Pin oak is one of the most commonly used landscaping oaks in its native range due to its ease of transplant, relatively fast growth, and pollution tolerance. Its distinctive shape is considered unique among hardwoods. Q. palustris is mainly distributed in the eastern and central United States from Connecticut west to eastern Kansas, and south to Georgia, west to eastern Oklahoma and Kansas. It is also native in the extreme south of Ontario, Canada. Pin oak is a medium-sized deciduous tree growing to 18–22 m (59–72 ft) tall, with a trunk up to 1 m (3.3 ft) diameter. It has an 8–14 m (26–46 ft) spread."
Plum Yew,Cephalotaxus harringtonia,plum_yew.jpeg,Evergreen,"Cephalotaxus harringtonii (Plum Yew) is a coniferous bush or small tree in the family Taxaceae. It is native to Japan, but is occasionally utilised in western gardens and several cultivars exist for these purposes. Japanese plum yew has been in cultivation in Europe since 1829, and many modern horticulturists are familiar with this Japanese species, named in honor of Charles Stanhope, 4th Earl of Harrington, one of the first to grow the plant in a European garden, at Elvaston."
Pocahontas Lilac,Syringa x hyacinthiflora 'Pocahontas',pocahontas_lilac.jpeg,Deciduous,"Syringa x hyacinthaflora 'Pocahontas' is a cultivated variety of early-blooming lilac with single, rich violet flowers that bloom early-season for lilacs, often in late April at NYBG. Among Canadian nurseryman Frank Skinner's more popular cultivars, 'Pocahontas' boasts strong violet color and a fragrance to match it. Bred in 1935 from Syringa vulgaris and S. oblata subsp. dilatata, 'Pocahantas' takes its name from the Algonquin princess Pocahantas (1595-1617), who lived in the Tidewater region of Virginia."
Pond Cypress,Taxodium ascendens,pond_cypress.jpg,Deciduous,"Taxodium ascendens, also known as pond cypress, is a deciduous conifer of the genus Taxodium, native to North America. Many botanists treat it as a variety of bald cypress, Taxodium distichum (as T. distichum var. imbricatum) rather than as a distinct species, but it differs in ecology, occurring mainly in still blackwater rivers, ponds and swamps without silt-rich flood deposits. It predominates in cypress dome habitats. This species is native to the southeastern United States, from southeastern Virginia to southeastern Louisiana and south into Florida except for the Florida Keys."
Purpleleaf Plum,Prunus cerasifera ,purpleleaf_plum.jpg,Deciduous,"Prunus cerasifera is a species of plum known by the common names cherry plum and purpleleaf plum. It is native to Southeast Europe and Western Asia, and is naturalised in the British Isles and scattered locations in North America. Wild types are large shrubs or small trees reaching 8–12 m (25–40 feet) tall, sometimes spiny, with glabrous, ovate deciduous leaves 3–7 cm (1.5–2.5 inches) long. It is one of the first European trees to flower in spring, often starting in mid-February before the leaves have opened."
Red Buckeye,Aesclus pavia,red_buckeye.jpg,Deciduous,"Aesculus pavia, known as red buckeye or firecracker plant, is a species of deciduous flowering plant. The small tree or shrub is native to the southern and eastern parts of the United States, found from Illinois to Virginia in the north and from Texas to Florida in the south. It has a number of local names, such as scarlet buckeye, woolly buckeye and firecracker plant. The red buckeye is a large shrub or small tree. It reaches a height of 16–26 feet (5–8 m), often growing in a multi-stemmed form. The flowers are attractive to hummingbirds as well as bees. The fruits are rich in saponins, which are poisonous to humans, although not particularly dangerous because they are not ingested easily."
Red Horsechestnut,Aesculus x carnea,red_horsechestnut.jpg,Deciduous,"Aesculus _ carnea, or red horse-chestnut, is an artificial hybrid between A. pavia (red buckeye) and A. hippocastanum (horse-chestnut). The origin of the tree is not known, but it probably first appeared in Germany before 1820. The hybrid is a medium-size tree to 20–25 m tall, intermediate between the parent species in most respects, but inheriting the red flower color from A. pavia. It is a popular tree in large gardens and parks."
Red Maple,Acer rubrum,red_maple.jpg,Deciduous,"Acer rubrum, the red maple, also known as swamp, water or soft maple, is one of the most common and widespread deciduous trees of eastern and central North America. The U.S. Forest service recognizes it as the most abundant native tree in eastern North America. The red maple ranges from southeastern Manitoba around the Lake of the Woods on the border with Ontario and Minnesota, east to Newfoundland, south to Florida, and southwest to eastern Texas. Many of its features, especially its leaves, are quite variable in form. At maturity, it often attains a height of around 30 m (100 ft). Its flowers, petioles, twigs and seeds are all red to varying degrees. Among these features, however, it is best known for its brilliant deep scarlet foliage in autumn."
Regal Prince Oak,Quercus x warei,regal_prince_oak.jpg,Deciduous,"Quercus _ warei is a hybrid oak tree in the genus Quercus. The tree is a hybrid of Quercus robur L. f. fastigiata (Lam.) O. Schwarz (Upright English oak) and Quercus bicolor Willd. (swamp white oak). The hybrid is named for the American dendrologist George Ware, former Research Director at the Morton Arboretum, Illinois."
River Birch,Betula nigra,river_birch.jpg,Deciduous,"Betula nigra, the black birch, river birch or water birch, is a species of birch native to the Eastern United States from New Hampshire west to southern Minnesota, and south to northern Florida and west to Texas. It is one of the few heat-tolerant birches in a family of mostly cold-weather trees. B. nigra commonly occurs in floodplains and swamps. Betula nigra is a deciduous tree growing to 25–30 meters (80–100 ft) with a trunk 50 to 150 centimeters (20 to 60 in) in diameter. The base of the tree is often divided into multiple slender trunks."
Rose-of-Sharon,Hibiscus syriacus,rose_of_sharon.jpeg,Deciduous,"Hibiscus syriacus is a species of flowering plant in the mallow family, Malvaceae. It is native to south-central and southeast China, but widely introduced elsewhere, including much of Asia. It was given the epithet syriacus because it had been collected from gardens in Syria. Common names include the Korean rose (in South Korea), rose of Sharon (especially in North America), Syrian ketmia, shrub althea, rose mallow (in the United Kingdom), and rosa de Sharon (in Brazil). It is the national flower of South Korea and is mentioned in the South Korean national anthem."
Royal Purple Lilac,Syringa x hyacinthiflora 'Royal Purple',royal_purple_lilac.jpg,Deciduous,"Syringa x hyacinthaflora 'Royal Purple' is a cultivated variety of early-blooming lilac with double, purple flowers that bloom early-season for lilacs, often in late April at NYBG. Introduced by Canadian nurseryman Frank Skinner in 1966, 'Royal Purple' is a striking cross between Syringa vulgaris and S. oblata subsp. dilatata."
Rubber Tree,Hevea brasiliensis,rubber_tree.jpg,Deciduous,"Hevea brasiliensis, the Pará rubber tree, sharinga tree, seringueira, or, most commonly, the rubber tree or rubber plant, is a tree belonging to the family Euphorbiaceae. It is the most economically important member of the genus Hevea because the milky latex extracted from the tree is the primary source of natural rubber. H. brasiliensis is a tall deciduous tree growing to a height of up to 43 m (141 ft) in the wild, but cultivated trees are usually much smaller because drawing off the latex restricts the growth of the tree."
Sapphireberry,Symplocos paniculata,sapphireberry.jpg,Deciduous,"Symplocos paniculata, called Asiatic sweetleaf or sapphire-berry, is a species of tree in the Symplocaceae family. It is native to all of eastern Asia and was introduced to the United States in around 1871. It is a tree reaching 12 m (39 ft) in favorable conditions, though it is often more shrub-like, and is used as an ornamental due to its visually striking blue fruit from which it derives its common name. It escapes from cultivation and may already be an invasive species in the United States."
Sassafras,Sassafras albidum,sassafras.jpg,Deciduous,"Sassafras is a genus of three extant and one extinct species of deciduous trees in the family Lauraceae, native to eastern North America and eastern Asia. The genus is distinguished by its aromatic properties, which have made the tree useful to humans. Sassafras trees grow from 9–35 m (30–115 ft) tall with many slender sympodial branches, and smooth, orange-brown bark or yellow bark. All parts of the plants are fragrant."
Saucer Magnolia,Magnolia x soulangeana,saucer_magnolia.jpg,Deciduous,"Magnolia _ soulangeana (saucer magnolia) is a hybrid plant in the genus Magnolia and family Magnoliaceae. It is a deciduous tree with large, early-blooming flowers in various shades of white, pink, and purple. It is one of the most commonly used magnolias in horticulture, being widely planted in the British Isles, especially in the south of England; and in the United States, especially the east and west coasts. Growing as a multistemmed large shrub or small tree, Magnolia _ soulangeana has alternate, simple, shiny, dark green oval-shaped leaves on stout stems. Its flowers emerge dramatically on a bare tree in early spring, with the deciduous leaves expanding shortly thereafter, lasting through summer until autumn."
Sawara Falsecypress,Chamaecyparis pisifera,sawara_falsecypress.jpg,Evergreen,"Chamaecyparis pisifera (Sawara falsecypress or Sawara) is a species of false cypress, native to central and southern Japan, on the islands of Honsh_ and Ky_sh_. It is a slow-growing coniferous tree growing to 35–50 m tall with a trunk up to 2 m in diameter. The Latin specific epithet pisifera, “pea-bearing”, refers to the small round green cones."
Sawtooth Oak,Quercus acutissima,sawtooth_oak.jpg,Deciduous,"Quercus acutissima, the sawtooth oak, is an Asian species of oak native to China (including Tibet), Korea, Japan, Indochina (Vietnam, Thailand, Myanmar, Cambodia) and the Himalayas (Nepal, Bhutan, northeastern India).[2] It is widely planted in many lands and has become naturalized in parts of North America. Quercus acutissima is a medium-sized deciduous tree growing to 25–30 metres (82–98 ft) tall with a trunk up to 1.5 metres (4 ft 11 in) in diameter. The fruit is an acorn, maturing about 18 months after pollination."
Scarlet Oak,Quercus coccinea,scarlet_oak.jpg,Deciduous,"Quercus coccinea, the scarlet oak, is an oak in the red oak section Quercus sect. Lobatae. The scarlet oak can be mistaken for the pin oak, the black oak, or occasionally the red oak. On scarlet oak the sinuses between lobes are ""C""-shaped in comparison to pin oak (Q. palustris), which has ""U""-shaped sinuses and the acorns are half covered by a deep cap. Scarlet oak is mainly native to the central and eastern United States, from southern Maine west to Wisconsin, Michigan and Missouri, and south as far as Louisiana, Alabama, and Georgia. Quercus coccinea is a medium-large deciduous tree growing to 20–30 m (67–100 feet) tall with an open, rounded crown."
Serbian Spruce,Picea omorika,serbian_spruce.jpg,Evergreen,"Picea omorika, common name Serbian spruce, is a species of coniferous tree endemic to the Drina River valley in western Serbia, and eastern Bosnia and Herzegovina, with a total range of only about 60 hectare, at 800–1,600 m (2,625–5,249 ft) altitude. It was originally discovered near the village of Zaovine (Serbia) on the Tara Mountain in 1875, and named by the Serbian botanist Josif Pan_i_; the specific epithet omorika is simply the Serbian word for ""Serbian spruce"". It is a medium-sized evergreen tree growing to 20 m (66 ft) tall, exceptionally 40 m (131 ft), with a trunk diameter of up to 1 m (3 ft)."
Serviceberry,Amelanchier canadensis,serviceberry.jpg,Deciduous,"Amelanchier canadensis (serviceberry) is a species of Amelanchier native to eastern North America in Canada from Newfoundland west to southern Ontario, and in the United States from Maine south to Alabama. It is a deciduous shrub or small tree growing to 0.5–8 m tall with one to many stems and a narrow, fastigiate crown. Fruits become ripe in June and July in its native range. It is used as a medicinal plant, food, and ornamental plant. It is sometimes made into bonsai."
Shagbark Hickory,Carya ovata,shagbark_hickory.jpg,Deciduous,"Carya ovata, the shagbark hickory, is a common hickory in the Eastern United States and southeast Canada. It is a large, deciduous tree, growing well over 100 ft (30 m) tall, and can live more than 350 years. The tallest measured shagbark, located in Savage Gulf, Tennessee, is over 150 ft (46 m) tall. Mature shagbarks are easy to recognize because, as their name implies, they have shaggy bark. This characteristic is, however, only found on mature trees; young specimens have smooth bark. The shagbark hickory's nut is edible and has a very sweet taste."
Shingle Oak,Quercus imbricaria,shingle_oak.jpg,Deciduous,"Quercus imbricaria, the shingle oak, is a deciduous tree in the red oak group of oaks. It is native primarily to the Midwestern and Upper South regions of North America, from southern New York west to northern Illinois and eastern Kansas, and south to central Alabama and Arkansas. Quercus imbricaria is a medium-sized tree growing to 20 meters (67 feet) tall, with a trunk up to 1 meter (40 inches) in diameter (rarely 1.4 meters, 56 inches). It is distinguished from most other oaks by its leaves, which are shaped like laurel leaves; they are bright green above, paler and somewhat downy beneath. The fruit is an acorn, 9–18 mm long and wide with a shallow cup; they are mature about 18 months after pollination. They are an important food for squirrels and some birds."
Shortleaf Pine,Pinus echinata,shortleaf_pine.jpg,Evergreen,"Pinus echinata, the shortleaf pine, is a species of pine native to the eastern United States from southernmost New York, south to northern Florida, west to eastern Oklahoma, and southwest to eastern Texas. The tree is variable in form, sometimes straight, sometimes crooked, with an irregular crown. This tree reaches heights of 20–30 metres (65–100 ft) with a trunk diameter of 0.5–0.9 metres (1 ft 8 in–2 ft 11 in). This pine is a source of wood pulp, plywood veneer, and lumber for a variety of uses. The shortleaf pine is one of the southern US ""southern yellow pines; it is also occasionally called southern yellow pine or the shortstraw pine. Shortleaf pine has the largest range of the southern US yellow pines."
Shumard Oak,Quercus shumardii,shumard_oak.jpg,Deciduous,"Quercus shumardi, the Shumard oak, spotted oak, Schneck oak, Shumard red oak, or swamp red oak, is one of the largest of the oak species in the red oak group (Quercus section Lobatae). Mature Shumard oaks typically reach heights of 25 to 35 m (82 to 115 ft), trunk diameter is typically 60 to 100 cm (24 to 39 in), and crown width typically reaches 12 to 18 m (39 to 59 ft) in width. Shumard oak is native to the Atlantic coastal plain primarily from North Carolina to northern Florida and west to central Texas; it is also found north in the Mississippi River Valley to central Oklahoma, eastern Kansas, Missouri, southern Illinois, Indiana, western and southern Ohio, Kentucky, and Tennessee. It is found locally north to southern Michigan, southern Pennsylvania, Maryland, western New York, and the extreme south of Ontario, Canada."
Siberian Elm,Ulmus pumila,siberian_elm.jpg,Deciduous,"Ulmus pumila, the Siberian elm, is a tree native to Central Asia, eastern Siberia, the Russian Far East, Mongolia, Tibet, northern China, India (northern Kashmir) and Korea. It is also known as the Asiatic elm and dwarf elm, but sometimes miscalled the 'Chinese Elm' (Ulmus parvifolia). It is the last tree species encountered in the semi-desert regions of central Asia. Described by Pallas in the 18th century from specimens from Transbaikal, Ulmus pumila has been widely cultivated throughout Asia, North America, Argentina, and southern Europe, becoming naturalized in many places, notably across much of the United States. The Siberian elm is usually a small to medium-sized, often bushy, deciduous tree growing to 25 m tall."
Silver Linden,Tilia tomentosa,silver_linden.jpg,Deciduous,"Tilia tomentosa, known as silver linden in the US and silver lime in the UK, is a species of flowering plant in the family Malvaceae, native to southeastern Europe and southwestern Asia, from Romania and the Balkans east to western Turkey, occurring at moderate altitudes. Tilia tomentosa is a deciduous tree growing to 20–35 m (66–115 ft) tall, with a trunk up to 2 m (7 ft) in diameter. It is widely grown as an ornamental tree throughout Europe."
Silver Maple,Acer saccharinum,silver_maple.jpg,Deciduous,"Acer saccharinum, commonly known as silver maple, creek maple, silverleaf maple, soft maple, large maple, water maple, swamp maple, or white maple, is a species of maple native to the eastern and central United States and southeastern Canada. It is one of the most common trees in the United States. The silver maple tree is a relatively fast-growing deciduous tree, commonly reaching a height of 15–25 m (49–82 ft), exceptionally 35 m (115 ft). Its spread will generally be 11–15 m (36–49 ft) wide."
Slippery Elm,Ulmus rubra,slippery_elm.jpg,Deciduous,"Ulmus rubra, the slippery elm, is a species of elm native to eastern North America, ranging from southeast North Dakota, east to Maine and southern Quebec, south to northernmost Florida, and west to eastern Texas, where it thrives in moist uplands, although it will also grow in dry, intermediate soils. Other common names include red elm, gray elm, soft elm, moose elm, and Indian elm. The tree was first named as part of Ulmus americana in 1753, but identified as a separate species, Ulmus rubra, in 1793 by Pennsylvania botanist Gotthilf Muhlenberg. Ulmus rubra is a medium-sized deciduous tree with a spreading head of branches, commonly growing to 12–19 m (39–62 ft), very occasionally > 30 m (98 ft) in height."
Smoketree,Cotinus coggygria,smoketree.jpg,Deciduous,"Cotinus coggygria, syn. Rhus cotinus, the European smoketree, Eurasian smoketree, smoke tree, smoke bush, Venetian sumach, or dyer's sumach is a species of flowering plant in the family Anacardiaceae, native to a large area from southern Europe, east across central Asia and the Himalayas to northern China. It is a multiple-branching shrub growing to 5–7 m (16–23 ft) tall with an open, spreading, irregular habit, only rarely forming a small tree. Most of the flowers in each inflorescence abort, elongating into yellowish-pink to pinkish-purple feathery plumes (when viewed en masse these have a wispy 'smoke-like' appearance, hence the common name) which surround the small (2–3 mm) drupaceous fruit that do develop."
Sourwood,Oxydendrum arboreum,sourwood.jpg,Deciduous,"Sourwood or sorrel tree, Oxydendrum arboreum, is the sole species in the genus Oxydendrum, in the family Ericaceae. It is native to eastern North America, from southern Pennsylvania south to northwest Florida and west to southern Illinois; it is most common in the lower chain of the Appalachian Mountains. Sourwood is a small tree or large shrub, growing to 10–20 m (33–66 ft) tall with a trunk up to 50 cm (20 in) diameter. The leaves are dark green in the summer, but turn vivid red in the fall."
Southern Magnolia,Magnolia grandiflora,southern_magnolia.jpg,Evergreen,"Magnolia grandiflora, commonly known as the southern magnolia or bull bay, is a tree of the family Magnoliaceae native to the southeastern United States, from southeastern North Carolina to central Florida, and west to East Texas. Reaching 27.5 m (90 ft) in height, it is a large, striking evergreen tree, with large dark green leaves up to 20 cm (7 3⁄4 in) long and 12 cm (4 3⁄4 in) wide, and large, white, fragrant flowers up to 30 cm (12 in) in diameter. Although endemic to the lowland subtropical forests on the Gulf and south Atlantic coastal plain, magnolia grandiflora is widely cultivated in warmer areas around the world. The timber is hard and heavy, and has been used commercially to make furniture, pallets, and veneer."
Spanish Fir,Abies pinsapo,spanish_fir.jpg,Evergreen,"Abies pinsapo, the Spanish fir, is a species of fir native to southern Spain and northern Morocco. Related to other species of Mediterranean firs, it is considered the Andalusian National Tree. In Spain, it appears at altitudes of 900–1,800 metres (3,000–5,900 ft) in the Sierra de Grazalema in the province of Cádiz and the Sierra de las Nieves and Sierra Bermeja, both near Ronda in the province of Málaga. In Morocco, it is limited to the Rif Mountains at altitudes of 1,400–2,100 metres (4,600–6,900 ft) on Jebel Tissouka and Jebel Tazaot. Abies pinsapo is an evergreen tree growing to 20–30 m tall, with a conic crown, sometimes becoming irregular with age."
Staghorn Sumac,Rhus typhina,staghorn_sumac.jpg,Deciduous,"Rhus typhina, the staghorn sumac, is a species of flowering plant in the family Anacardiaceae, native to eastern North America. It is primarily found in southeastern Canada, the northeastern and midwestern United States and the Appalachian Mountains, but is widely cultivated as an ornamental throughout the temperate world. The specific epithet typhina is explained in Linnaeus's and Ericus Torner's description of the plant with the phrase ""Ramis hirtis uti typhi cervini"" meaning ""the branches are rough like antlers in velvet"". Rhus typhina is a dioecious, deciduous shrub or small tree growing up to 5 m (16 ft) tall by 6 m (20 ft) broad."
Star Magnolia,Magnolia stellata,star_magnolia.jpg,Deciduous,"Magnolia stellata, sometimes called the star magnolia, is a slow-growing shrub or small tree native to Japan. It bears large, showy white or pink flowers in early spring, before its leaves open. This tree grows 1.5 to 2.5 m in height, spreading to 4.6m in width at maturity. Young trees display upright oval growth, but the plants spread and mound with age."
Stewartia,Stewartia spp.,stewartia.jpg,Deciduous,"Stewartia (sometimes spelled Stuartia) is a genus of 8-20 species of flowering plants in the family Theaceae, related to Camellia. Most of the species are native to eastern Asia in China, Japan, Korea, Laos, Myanmar, Thailand, and Vietnam, with two (S. malacodendron, S. ovata) in southeast North America, from Virginia and Kentucky south to Florida and Louisiana. They are shrubs and trees, mostly deciduous, though some species (e.g. S. pteropetiolata) are evergreen. Several species of Stewartia are grown as ornamental plants for their very decorative smooth orange bark and their flowers produced at a time of year when few other trees are in flower."
Stinking Cedar,Torreya taxifolia,stinking_cedar.jpg,Evergreen,"Torreya taxifolia, commonly known as the Florida nutmeg, Florida torreya, gopher wood, stinking yew, or stinking cedar (although not a true yew or cedar), is a rare and endangered tree of the yew family found in the Southeastern United States, at the state border region of northern Florida and southwestern Georgia. The leaves and cones have a strongly pungent resinous odor when crushed, leading to its popular names ""stinking yew"" and ""stinking cedar"".  Torreya taxifolia is an evergreen tree that may reach heights of 15 to 20 meters. It became one of the first federally listed endangered plant species in the United States in 1984; due to a poorly understood fungal blight that has destroyed 98% of the mature trees of the species, extinction in its native range is thought to be inevitable."
Sugar Maple,Acer saccharum,sugar_maple.jpeg,Deciduous,"Acer saccharum, the sugar maple or rock maple (French: Érable à sucre), is a species of maple native to the hardwood forests of eastern Canada, from Nova Scotia west through southern Quebec, central and southern Ontario to southeastern Manitoba around Lake of the Woods, and the northern parts of the Central and Eastern United States, from Minnesota eastward to the highlands of the upper eastern states and the interior Midwest. Acer saccharum is a deciduous tree normally reaching heights of 25–35 m (80–115 ft), and exceptionally up to 45 m (148 ft). Sugar maple is best known for its bright fall foliage and for being the primary source of maple syrup."
Swamp White Oak,Quercus bicolor,swamp_white_oak.jpg,Deciduous,"Quercus bicolor, the swamp white oak, is a North American species of medium-sized trees in the beech family. It is a common element of America's north central and northeastern mixed forests. It can survive in a variety of habitats. It forms hybrids with bur oak where they occur together in the wild. Quercus bicolor grows rapidly and can reach 60 to 80 feet (18 to 24 meters) tall with the tallest known reaching 29 m (95 ft) and lives up to 285 years."
Sweet Cherry,Prunus avium,sweet_cherry.jpg,Deciduous,"Prunus avium, commonly called wild cherry, sweet cherry, or gean, is a species of cherry, a flowering plant in the rose family, Rosaceae. It is native to Europe, Anatolia, Maghreb, and Western Asia, from the British Isles south to Morocco and Tunisia, north to the Trondheimsfjord region in Norway and east to the Caucasus and northern Iran, with a small isolated population in the western Himalaya. The species is widely cultivated in other regions and has become naturalized in North America and Australia. Prunus avium is a deciduous tree growing to 15–32 m (49–105 ft) tall, with a trunk up to 1.5 m (4.9 ft) in diameter. All parts of the plant except for the ripe fruit are slightly toxic, containing cyanogenic glycosides."
Sweetbay Magnolia,Magnolia virginiana,,Unknown,
Swiss Stone Pine,Pinus cembra,,Evergreen,
Sycamore,Platanus occidentalis,,Deciduous,
Three-flowered Maple,Acer triflorum,,Deciduous,
Tree-of-Heaven,Ailanthus altissima,,Deciduous,
Trident Maple,Acer buergerianum,,Deciduous,
Tulip Poplar,Liriodendron tulipifera,,Deciduous,
Umbrella Magnolia,Magnolia tripetala,,Deciduous,
Viburnum species,Viburnum species,,Unknown,
Water Oak,Quercus nigra,,Deciduous,
Weeping Alaskan Cedar,Chamaecyparis nootkatensis ,,Evergreen,
Weeping Beech,Fagus sylvatica,,Deciduous,
Weeping Willow,Salix babylonica,,Deciduous,
Wheel-tree,Trochodendron aralioides,,Evergreen,
White Ash,Fraxinus americana,,Deciduous,
White Fir,Abies concolor,,Evergreen,
White Fringetree,Chionanthus virginicus,,Deciduous,
White Mulberry,Morus alba,,Deciduous,
White Oak,Quercus alba,,Deciduous,
White Spruce,Picea glauca,,Evergreen,
Willow Oak,Quercus phellos,,Deciduous,
Winterhazel,Corylopsis sinensis,,Deciduous,
Witchhazel,Hammamelis spp.,,Deciduous,
Wych Elm,Ulmus glabra ,,Deciduous,
Yellow Buckeye,Aesculus flava,,Deciduous,
Yew,Taxus spp,,Unknown,
Yoshino Cherry,Prunus x yedoensis,,Deciduous,
Zen Magnolia,Magnolia zenii,,Deciduous,
Unknown,Unknown,unknown.png,Unknown,Unknown.
